Entry	Signal peptide
O00300	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9571159"
O00478	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:15340161"
O00585	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9300671"
O00602	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:15340161"
O00626	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:9151897"
O00748	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:9169443"
O02839	SIGNAL 1..44; /evidence="ECO:0000269|PubMed:9029106"
O02853	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:9510973"
O08523	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:9079715"
O08795	SIGNAL 1..14; /evidence="ECO:0000269|PubMed:9148925"
O09049	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:19095652"
O09165	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:7945294"
O13547	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:10322008"
O14625	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:10233762"
O14763	SIGNAL 1..55; /evidence="ECO:0000269|PubMed:9311998"
O14773	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:11054422"
O14786	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:10688880, ECO:0000269|PubMed:9529250"
O14791	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:9325276"
O14798	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9242611"
O15197	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:15340161"
O15455	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161"
O15467	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9596672"
O18330	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:11302159, ECO:0000269|PubMed:9791542"
O18998	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:9230129"
O35310	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:9346953"
O35314	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:3608978"
O35701	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:10660556"
O35744	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:10625674, ECO:0000269|PubMed:11297523"
O42414	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1377696"
O42446	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:9395327"
O42807	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:9406381"
O43155	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:15340161"
O43278	SIGNAL 1..35; /evidence="ECO:0000269|PubMed:15340161"
O43291	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9115294"
O43653	SIGNAL 1..11; /evidence="ECO:0000269|PubMed:15340161"
O43827	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161"
O43852	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:12665801"
O43866	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:8034987, ECO:0000269|PubMed:9045627"
O46166	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:9589602"
O54766	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:16342937"
O54767	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:16342937"
O54861	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:26479776"
O55038	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:9486651"
O55232	SIGNAL 1..32; /evidence="ECO:0000269|PubMed:9491897"
O57385	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:10930841"
O60449	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:9862343"
O60565	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
O60602	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161"
O60609	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:15340161"
O60721	SIGNAL 1..?; /note="Not cleaved"; /evidence="ECO:0000269|PubMed:10608890"
O60844	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:15340161"
O60931	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:28082515"
O61668	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:11042276, ECO:0000269|PubMed:8068186"
O61705	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:15200476"
O64392	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:8251057"
O64411	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:9598979"
O70165	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:17669269"
O75462	SIGNAL 1..37; /evidence="ECO:0000269|PubMed:15340161"
O75556	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:25946035, ECO:0000269|PubMed:9504814, ECO:0000269|PubMed:9720917"
O75629	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:15340161"
O75636	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161"
O76076	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161"
O76818	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:29466015"
O77801	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:11772026"
O88188	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:9686597"
O88917	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:9208860"
O89093	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:10064080"
O93364	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:9703950"
O94907	SIGNAL 1..31; /evidence="ECO:0000269|PubMed:15340161"
O94985	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:15037614"
O95407	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:10318773"
O95633	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161"
O95711	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161"
O95715	SIGNAL 1..34; /evidence="ECO:0000269|PubMed:10946286"
O95750	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161"
O95813	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:15340161"
O95866	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:12665801"
O95881	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161"
O95967	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:23782690"
O95968	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:25946035, ECO:0000269|PubMed:9720917"
O95994	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:15340161"
O95998	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:10023777, ECO:0000269|PubMed:10094485, ECO:0000269|PubMed:15340161"
O96935	SIGNAL 1..30; /note="Required for ER targeting and membrane association; not cleaved"; /evidence="ECO:0000269|PubMed:20591164"
O97763	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:10366780"
O97939	SIGNAL 1..38; /evidence="ECO:0000269|PubMed:9206327"
P00433	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:1001465"
P00450	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:6582496"
P00533	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:6328312, ECO:0000269|Ref.16"
P00592	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:5528841"
P00593	SIGNAL 1..15; /evidence="ECO:0000269|Ref.2"
P00615	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:22776098, ECO:0000269|PubMed:6756920"
P00616	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:22776098, ECO:0000269|PubMed:563806"
P00624	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:19371136, ECO:0000269|PubMed:7061414"
P00625	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:22115990, ECO:0000269|PubMed:7275018"
P00626	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:3986212"
P00635	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:6093051, ECO:0000269|PubMed:6300772"
P00639	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:4734471"
P00655	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:6343394"
P00669	SIGNAL 1..26; /evidence="ECO:0000269|Ref.4"
P00683	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:556267"
P00684	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:4710592"
P00687	SIGNAL 1..15; /evidence="ECO:0000269|Ref.8"
P00688	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:6165618"
P00690	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:3484639"
P00697	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:851497"
P00698	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:14063294"
P00701	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:5358633, ECO:0000269|Ref.3"
P00702	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:476049"
P00703	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:5440837"
P00709	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5049057"
P00711	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5532231"
P00712	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:507821"
P00713	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5065784"
P00714	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:7044414"
P00724	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2113524"
P00730	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:3147705"
P00736	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:3036070"
P00738	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:6997877"
P00739	SIGNAL 1..18; /note="Not cleaved"; /evidence="ECO:0000269|PubMed:25037218"
P00747	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:122932, ECO:0000269|Ref.7"
P00748	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3886654"
P00749	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:2023947, ECO:0000269|PubMed:6754569"
P00750	SIGNAL 1..22; /evidence="ECO:0000269|Ref.20"
P00751	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:6546754"
P00757	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:6712944"
P00760	SIGNAL 1..17; /evidence="ECO:0000269|PubMed:5967094"
P00773	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:6555050"
P00791	SIGNAL 1..15; /evidence="ECO:0000269|PubMed:2494172, ECO:0000269|PubMed:3044927, ECO:0000269|PubMed:4584879, ECO:0000269|PubMed:4881358"
P00794	SIGNAL 1..16; /evidence="ECO:0000269|PubMed:240697, ECO:0000269|PubMed:329280, ECO:0000269|PubMed:6283469"
P00797	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2016271"
P00995	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:7142173, ECO:0000269|PubMed:843082"
P01001	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:500016"
P01005	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:3548816"
P01008	SIGNAL 1..32; /evidence="ECO:0000269|Ref.10"
P01009	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1906855"
P01011	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:2787670"
P01015	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:4344907"
P01019	SIGNAL 1..33; /evidence="ECO:0000269|PubMed:4300938, ECO:0000269|PubMed:7259779, ECO:0000269|PubMed:7539791"
P01023	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:6203908"
P01024	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:8376604"
P01027	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2065778, ECO:0000269|PubMed:8364938"
P01033	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1653055, ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517"
P01034	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:6283552, ECO:0000269|PubMed:6365094, ECO:0000269|PubMed:6662498"
P01036	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1741693, ECO:0000269|PubMed:1747107, ECO:0000269|PubMed:1778989, ECO:0000269|PubMed:3496880"
P01037	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:11788998, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1778989"
P01042	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:2989293, ECO:0000269|PubMed:3484703"
P01045	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:3546295"
P01048	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:3121623"
P01083	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:1717975, ECO:0000269|PubMed:1868845, ECO:0000269|PubMed:938475, ECO:0000269|Ref.2"
P01131	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:6313699"
P01137	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:3162913"
P01139	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:20036257"
P01148	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:6760865"
P01161	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:2966345"
P01165	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:1797712, ECO:0000269|PubMed:6625600, ECO:0000269|PubMed:6816630"
P01175	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:13129273, ECO:0000269|Ref.7"
P01178	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:13591312"
P01179	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5150741"
P01180	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:13115463, ECO:0000269|Ref.5"
P01183	SIGNAL 1..19; /evidence="ECO:0000269|Ref.3"
P01185	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:13591312"
P01189	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:6267033, ECO:0000269|PubMed:6945581"
P01215	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:1150658, ECO:0000269|PubMed:1158880, ECO:0000269|PubMed:4745444, ECO:0000269|PubMed:481597"
P01222	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:890569"
P01223	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:5101174"
P01225	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:3151250"
P01229	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:1191677"
P01231	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:2456202, ECO:0000269|PubMed:4556309, ECO:0000269|PubMed:4575435"
P01236	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:1126929, ECO:0000269|PubMed:925136"
P01237	SIGNAL 1..29; /evidence="ECO:0000269|PubMed:728396, ECO:0000269|PubMed:925136"
P01238	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:1270193"
P01239	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:5507606"
P01240	SIGNAL 1..30; /evidence="ECO:0000269|PubMed:5497153"
P01241	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:5144027, ECO:0000269|PubMed:5279046, ECO:0000269|PubMed:5810834"
P01242	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:2196278"
P01246	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:4580883, ECO:0000269|PubMed:4584625"
P01248	SIGNAL 1..26; /evidence="ECO:0000269|PubMed:4918150"
P01269	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:1164500"
P01270	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:4833516"
P01274	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:6894800, ECO:0000269|PubMed:7045833"
P01297	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:4026853, ECO:0000269|Ref.3"
P01303	SIGNAL 1..28; /evidence="ECO:0000269|PubMed:6589611"
P01304	SIGNAL <1..9; /evidence="ECO:0000269|PubMed:6957876"
P01308	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:14426955"
P01315	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:5657063"
P01317	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:13249947, ECO:0000269|PubMed:14886311, ECO:0000269|PubMed:4928892"
P01321	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:5949593"
P01322	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:4311938"
P01323	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:4311938"
P01325	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:5063718"
P01326	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:5063718"
P01329	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:5949593"
P01344	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:658418, ECO:0000269|PubMed:7633596"
P01346	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:7016879"
P01347	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:7004862"
P01348	SIGNAL 1..24; /evidence="ECO:0000269|PubMed:851452"
P01350	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:8055952"
P01398	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:3021284, ECO:0000269|PubMed:3986193"
P01484	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4342910"
P01485	SIGNAL <1..8; /evidence="ECO:0000269|Ref.2"
P01492	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4460885"
P01500	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:5601655, ECO:0000269|Ref.3"
P01562	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1634550, ECO:0000269|PubMed:9425112"
P01563	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:6159537, ECO:0000269|PubMed:9425112"
P01566	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9425112"
P01567	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9425112"
P01568	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1634550, ECO:0000269|PubMed:9425112"
P01569	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161"
P01570	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1634550, ECO:0000269|PubMed:7765487, ECO:0000269|PubMed:9425112"
P01571	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1634550, ECO:0000269|PubMed:9425112"
P01572	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:9244179"
P01579	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:3109913, ECO:0000269|PubMed:6427223"
P01588	SIGNAL 1..27; /evidence="ECO:0000269|PubMed:3949763"
P01591	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:25946035"
P01593	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:2496160, ECO:0000269|PubMed:4435756, ECO:0000269|PubMed:4563064, ECO:0000269|PubMed:4709625, ECO:0000269|PubMed:4893682, ECO:0000269|PubMed:5595110, ECO:0000269|PubMed:6167731, ECO:0000269|PubMed:7993911, ECO:0000269|PubMed:809329, ECO:0000269|PubMed:824717"
P01594	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:5028201"
P01597	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:4097974, ECO:0000269|PubMed:5124396, ECO:0000269|PubMed:5447531, ECO:0000269|PubMed:6816713"
P01599	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:4215718, ECO:0000269|PubMed:6410398"
P01602	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:112021, ECO:0000269|PubMed:4216454, ECO:0000269|PubMed:5489770"
P01611	SIGNAL 1..22; /evidence="ECO:0000269|PubMed:6778806"
P01615	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4596149, ECO:0000269|PubMed:4700495, ECO:0000269|PubMed:821524, ECO:0000269|Ref.3"
P01619	SIGNAL 1..20; /evidence="ECO:0000269|PubMed:11946339, ECO:0000269|PubMed:3086710, ECO:0000269|PubMed:5027703, ECO:0000269|PubMed:6794615"
P01699	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:2410269, ECO:0000269|PubMed:809332"
P01700	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5532227, ECO:0000269|PubMed:6407018"
P01701	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3929803, ECO:0000269|PubMed:4177823, ECO:0000269|PubMed:6404900"
P01704	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:3922791, ECO:0000269|PubMed:500108, ECO:0000269|PubMed:5087637"
P01705	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5043326"
P01706	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:102365, ECO:0000269|PubMed:113407, ECO:0000269|PubMed:118915, ECO:0000269|PubMed:6787031, ECO:0000269|PubMed:7737190, ECO:0000269|PubMed:804002"
P01709	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4415202, ECO:0000269|PubMed:5532228"
P01721	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:118171, ECO:0000269|PubMed:4089539, ECO:0000269|PubMed:6797401, ECO:0000269|Ref.6"
P01730	SIGNAL 1..25; /evidence="ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:2592374"
P01742	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:5489771, ECO:0000269|PubMed:7028111"
P01764	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:409716, ECO:0000269|PubMed:4139708, ECO:0000269|PubMed:4522793"
P01768	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:107164, ECO:0000269|PubMed:4208843, ECO:0000269|PubMed:6774332, ECO:0000269|PubMed:826475"
P01772	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:420800, ECO:0000269|PubMed:6884994"
P01814	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:4742735, ECO:0000269|PubMed:5449120"
P01830	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:6118137"
P01831	SIGNAL 1..19; /evidence="ECO:0000269|PubMed:6177036"
P01833	SIGNAL 1..18; /evidence="ECO:0000269|PubMed:1859628, ECO:0000269|PubMed:6526384"
